# S/S_b A B C D
0.00050 468.0E-2 467.0E-2 466.0E-2 469.0E-2
0.00060 417.0E-2 416.0E-2 416.0E-2 419.0E-2
0.00070 371.0E-2 369.0E-2 369.0E-2 372.0E-2
0.00080 328.0E-2 326.0E-2 326.0E-2 329.0E-2
0.00090 288.0E-2 286.0E-2 285.0E-2 289.0E-2
0.00100 250.0E-2 247.0E-2 247.0E-2 251.0E-2
0.00110 214.0E-2 211.0E-2 211.0E-2 215.0E-2
0.00120 179.0E-2 177.0E-2 177.0E-2 181.0E-2
0.00130 146.0E-2 144.0E-2 144.0E-2 148.0E-2
0.00140 115.0E-2 112.0E-2 112.0E-2 117.0E-2
0.00150 849.0E-3 822.0E-3 819.0E-3 864.0E-3
